Rank,Domain,Share,Country
1,google.co.in,49.65%,"India
"
1,google.com.kw,49.59%,"Kuwait
"
1,google.com.sg,49.08%,"Singapore
"
1,google.co.il,48.86%,"Israel
"
1,google.com.hk,46.92%,Hong
1,google.com,46.91%,"Indonesia
"
2,google.com,45.13%,"Israel
"
2,google.co.id,44.71%,"Indonesia
"
2,google.com,43.95%,South
2,google.com,43.93%,"India
"
2,google.com,43.08%,"Singapore
"
1,google.com.ua,42.94%,"Ukraine
"
1,google.com,42.56%,"WorldWide
"
2,google.com,42.22%,"Ireland
"
2,google.com,41.60%,New
2,google.com,40.71%,Hong
2,google.com,40.32%,"Kuwait
"
2,google.com,40.30%,"Chile
"
2,google.com,39.96%,"Colombia
"
2,google.com,39.57%,"Philippines
"
2,google.com,39.39%,"Denmark
"
2,google.com,38.90%,"Pakistan
"
2,google.com,37.99%,"Sweden
"
2,google.com,37.48%,"Canada
"
2,google.com,37.27%,"Japan
"
2,google.com,37.08%,"Australia
"
2,google.com,36.94%,Saudi
2,google.com,36.63%,"Netherlands
"
2,google.com,35.90%,"Hungary
"
2,google.com,35.13%,"Norway
"
2,google.com,34.97%,"Slovakia
"
2,google.com,34.42%,"Portugal
"
2,google.com,34.31%,Czech
2,google.com,33.97%,"Spain
"
2,google.fi,32.85%,"Finland
"
2,google.com,32.31%,"Taiwan
"
2,google.com,31.74%,"France
"
2,google.com,31.61%,"Venezuela
"
2,google.com,31.55%,"Peru
"
2,google.com,31.05%,"Brazil
"
2,google.com,30.91%,"Croatia
"
2,google.com,30.48%,"Mexico
"
2,google.com,30.48%,"Serbia
"
2,google.com,30.01%,"Belgium
"
2,google.com,29.63%,"Greece
"
2,google.com,28.78%,"Switzerland
"
2,google.com,28.34%,"Iraq
"
2,google.com,28.34%,"Argentina
"
2,google.com,26.89%,"Italy
"
2,google.com,26.78%,"Germany
"
2,google.com,26.73%,"Thailand
"
2,google.com,26.05%,"Romania
"
2,yandex.ua,25.76%,"Ukraine
"
2,google.com,25.11%,"Bulgaria
"
2,google.com,24.73%,"Turkey
"
2,google.ru,24.12%,"Russia
"
2,google.com,24.04%,"Austria
"
2,google.com,24.00%,"Poland
"
2,google.com,22.04%,"Egypt
"
