Rank,Domain,Share,Country
70,google.cn,0.10%,"Canada
,China
,Taiwan
,Finland
,France
,Germany
,Hong,Australia
,Ireland
,Italy
,Japan
,Kuwait
,Malaysia
,Netherlands
,New,Norway
,Philippines
,Qatar
,Singapore
,Vietnam
,Spain
,Sweden
,Switzerland
,Thailand
,United,United,WorldWide
"
71,coccoc.com,0.10%,"Australia
,Japan
,Slovakia
,Vietnam
,WorldWide
"
72,startpage.com,0.10%,"Bulgaria
,Canada
,Chile
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Iraq
,Ireland
,Israel
,Italy
,Japan
,Austria
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Romania
,Serbia
,Singapore
,Slovakia
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,United,United,WorldWide
"
11,truelocal.com.au,0.10%,"Australia
"
10,zapmeta.com.pl,0.10%,"Poland
"
15,zapmeta.pt,0.10%,"Portugal
"
12,zapmeta.co.za,0.10%,South
73,google.com.my,0.10%,"Taiwan
,Czech,Hong,India
,Australia
,Indonesia
,Iraq
,Malaysia
,New,Qatar
,Saudi,Singapore
,Thailand
,Egypt
,United,WorldWide
"
20,qixing123.com,0.09%,"China
"
11,nedir.com,0.09%,"Turkey
"
9,tvn.hu,0.09%,"Hungary
"
8,syoboi.jp,0.09%,"Japan
"
13,meta.bg,0.09%,"Bulgaria
"
16,metacautare.ro,0.09%,"Romania
"
12,infodora.com,0.09%,"Croatia
"
11,yahoo-help.jp,0.08%,"Japan
"
74,google.kz,0.08%,"Czech,Netherlands
,Russia
,Ukraine
,WorldWide
"
11,mitula.it,0.08%,"Italy
"
13,findwide.com,0.08%,"Bulgaria
,Chile
,Colombia
,Croatia
,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Iraq
,Israel
,Kuwait
,Malaysia
,Mexico
,Morocco
,Pakistan
,Peru
,Philippines
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Vietnam
,South,Thailand
,Turkey
,Egypt
,Venezuela
"
22,cari.com.my,0.08%,"Taiwan
,Hong,Malaysia
,Singapore
"
11,aranyoldalak.hu,0.08%,"Hungary
"
19,mitula.pk,0.08%,"Pakistan
"
75,google.com.uy,0.08%,"Chile
,Argentina
,WorldWide
"
14,mysearch.com,0.07%,"Bulgaria
,Chile
,Colombia
,Croatia
,Argentina
,Hungary
,India
,Indonesia
,Iraq
,Israel
,Malaysia
,Morocco
,New,Pakistan
,Peru
,Philippines
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Vietnam
,Spain
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,United,Venezuela
"
11,trovit.com,0.07%,"Germany
,Australia
,Austria
,Russia
,Thailand
,Ukraine
"
76,google.fi,0.07%,"Bulgaria
,Czech,Denmark
,Finland
,Germany
,Ireland
,Netherlands
,Norway
,Poland
,Portugal
,Singapore
,Slovakia
,South,Spain
,Sweden
,Switzerland
,Thailand
,United,United,WorldWide
"
77,google.com.do,0.07%,"Colombia
,Argentina
,Venezuela
,WorldWide
"
24,135editor.com,0.07%,"China
"
12,ya.ru,0.07%,"Bulgaria
,Czech,Finland
,Israel
,Netherlands
,Russia
,Slovakia
,Ukraine
"
24,trovit.ie,0.07%,"Ireland
"
23,vinden.be,0.07%,"Belgium
"
78,soku.com,0.07%,"Canada
,China
,Taiwan
,Hong,Australia
,Japan
,Malaysia
,New,Singapore
,Vietnam
,Thailand
,United,WorldWide
"
79,google.com.gt,0.07%,"Mexico
,Venezuela
,WorldWide
"
17,plusnetwork.com,0.07%,"Chile
,Colombia
,Greece
,Argentina
,Hungary
,Indonesia
,Iraq
,Israel
,Kuwait
,Mexico
,Morocco
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Romania
,Saudi,Slovakia
,Sweden
,Brazil
,Thailand
,United,Turkey
,Egypt
,Venezuela
"
80,google.si,0.07%,"Croatia
,Austria
,Serbia
,Switzerland
,WorldWide
"
81,google.iq,0.07%,"Finland
,Iraq
,Kuwait
,Malaysia
,Qatar
,Sweden
,United,Turkey
,Egypt
,United,WorldWide
"
82,google.az,0.07%,"Turkey
,WorldWide
"
83,google.lk,0.07%,"Australia
,Kuwait
,New,Qatar
,Saudi,Singapore
,United,WorldWide
"
13,zapmeta.pe,0.06%,"Peru
"
14,pakutaso.com,0.06%,"Japan
"
84,google.lv,0.06%,"Denmark
,Finland
,Ireland
,Netherlands
,Belgium
,Norway
,Sweden
,United,WorldWide
"
14,coolsite.co.il,0.06%,"Israel
"
26,yidianzixun.com,0.06%,"China
"
28,zeze.com,0.06%,"China
"
18,atajitos.com,0.06%,"Chile
,Colombia
,Argentina
,Mexico
,Peru
,Brazil
,Venezuela
"
17,anasayfa.im,0.06%,"Turkey
"
21,rapidfinder.co.za,0.06%,South
26,kfcdelivery.com.my,0.06%,"Malaysia
"
25,sultan-bahoo.com,0.06%,"Pakistan
"
15,hasznaltat.hu,0.06%,"Hungary
"
35,bidtrk.com,0.06%,"Colombia
,Croatia
,India
,Romania
,Brazil
,United"
18,znoo.net,0.06%,"Turkey
"
13,eway.in.ua,0.06%,"Ukraine
"
85,google.ge,0.06%,"Russia
,Turkey
,WorldWide
"
14,iconnect.co.in,0.06%,"India
"
31,chromecj.com,0.06%,"China
"
26,autoelev.ro,0.06%,"Romania
"
86,google.ba,0.06%,"Croatia
,Austria
,Serbia
,WorldWide
"
32,10240.ml,0.05%,"China
"
35,kadaza.nl,0.05%,"Netherlands
"
28,ppt.ro,0.05%,"Romania
"
31,startsida.no,0.05%,"Norway
"
19,search.us.com,0.05%,"Bulgaria
,Chile
,Colombia
,Croatia
,Czech,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Iraq
,Ireland
,Israel
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Pakistan
,Peru
,Philippines
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Sweden
,Switzerland
,Thailand
,United,Turkey
,Egypt
,Venezuela
"
15,searchdesk.com,0.05%,"Japan
"
20,delta-search.com,0.05%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,France
,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Ireland
,Italy
,Japan
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Switzerland
,Brazil
,Thailand
,United,Turkey
,United,Venezuela
"
22,snupit.co.za,0.05%,South
26,qariya.info,0.05%,"Iraq
,Morocco
,Saudi,Egypt
"
39,members.home.nl,0.05%,"Netherlands
"
87,inspsearch.com,0.05%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Iraq
,Ireland
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,Venezuela
,WorldWide
"
37,halasat.net,0.05%,"Iraq
"
28,linker.ch,0.05%,"Switzerland
"
88,google.tn,0.05%,"Canada
,France
,Morocco
,Qatar
,WorldWide
"
42,ixquick.nl,0.05%,"Netherlands
"
32,leta.se,0.05%,"Sweden
"
22,zapmeta.com.co,0.05%,"Colombia
"
18,indiankanoon.org,0.05%,"India
"
40,mitula.ae,0.05%,United
21,pega2.com,0.05%,"Venezuela
"
89,google.ee,0.05%,"Denmark
,Finland
,Ireland
,Norway
,Sweden
,WorldWide
"
22,default-search.net,0.05%,"Bulgaria
,Chile
,Colombia
,Croatia
,Czech,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Iraq
,Israel
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Switzerland
,Thailand
,United,Egypt
,Venezuela
"
42,justdial.com,0.05%,"India
,Kuwait
,Qatar
,Saudi,United"
90,stumbleupon.com,0.05%,"Bulgaria
,Canada
,Chile
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Ireland
,Israel
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,United,United,Venezuela
,WorldWide
"
23,torrent-oyunindir.com,0.05%,"Turkey
"
14,yandex.net,0.05%,"Finland
,Peru
,Russia
,Turkey
,Ukraine
"
36,zapmeta.se,0.05%,"Sweden
"
23,zapmeta.mx,0.04%,"Chile
,Colombia
,Argentina
,Mexico
,Peru
,Venezuela
"
18,twinavi.jp,0.04%,"Japan
"
30,ts3a.com,0.04%,"Iraq
,Kuwait
,Morocco
,Saudi,Egypt
"
29,izito.at,0.04%,"Austria
"
91,google.com.bo,0.04%,"Argentina
,Peru
,Brazil
,WorldWide
"
27,avtogari.info,0.04%,"Bulgaria
"
92,rockettab.com,0.04%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,France
,Argentina
,Hong,Hungary
,India
,Indonesia
,Ireland
,Israel
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Pakistan
,Peru
,Philippines
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Egypt
,United,Venezuela
,WorldWide
"
21,driven.co.nz,0.04%,New
23,ibrainer.net,0.04%,"Greece
,Slovakia
"
29,ahu.go.id,0.04%,"Indonesia
"
93,google.com.sv,0.04%,"WorldWide
"
18,zapmeta.com.br,0.04%,"Brazil
"
20,zapmeta.co.in,0.04%,"India
"
94,google.com.af,0.04%,"Morocco
,Pakistan
,WorldWide
"
95,google.jo,0.04%,"France
,Iraq
,Qatar
,Saudi,United,Egypt
,WorldWide
"
20,yediot.co.il,0.04%,"Israel
"
96,seesaa.net,0.04%,"Taiwan
,Hong,Australia
,Japan
,Malaysia
,New,Singapore
,Thailand
,WorldWide
"
97,youdao.com,0.04%,"Canada
,China
,Taiwan
,Hong,Australia
,Japan
,Malaysia
,Netherlands
,New,Singapore
,United,United,WorldWide
"
19,sleipnirstart.com,0.04%,"Japan
"
98,google.com.ng,0.04%,"South,WorldWide
"
99,govome.com,0.04%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,France
,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Iraq
,Ireland
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,Venezuela
,WorldWide
"
29,trivago.com.tr,0.04%,"Turkey
"
25,torcho.com,0.04%,"Bulgaria
,Chile
,Colombia
,Croatia
,Czech,France
,Greece
,Argentina
,Hungary
,India
,Indonesia
,Iraq
,Israel
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Belgium
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,South,Spain
,Brazil
,United,Turkey
,Ukraine
,Egypt
,Venezuela
"
37,munchpunch.com,0.04%,"Philippines
"
21,harikonotora.net,0.04%,"Japan
"
26,mysearchresults.com,0.04%,"Bulgaria
,Chile
,Colombia
,Croatia
,Greece
,Argentina
,Hong,India
,Indonesia
,Iraq
,Israel
,Kuwait
,Malaysia
,Mexico
,Morocco
,Belgium
,Pakistan
,Peru
,Philippines
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,Thailand
,United,Venezuela
"
41,qmotor.com,0.04%,"Qatar
"
40,gdrfa.ae,0.04%,"Kuwait
,Qatar
,Saudi"
23,pideo.net,0.04%,"Japan
"
22,metasearch.co.il,0.04%,"Israel
"
32,suchen.co.at,0.04%,"Austria
"
23,symbaloo.com,0.04%,"Canada
,Colombia
,Denmark
,France
,Germany
,Greece
,Argentina
,Australia
,Ireland
,Italy
,Austria
,Netherlands
,New,Belgium
,Peru
,Portugal
,Spain
,Sweden
,Switzerland
,Thailand
,Ukraine
,United,United"
33,search.gov.hk,0.04%,Hong
30,trovit.com.tr,0.04%,"Turkey
"
37,czvv.com,0.04%,"China
"
24,excite.com,0.04%,"Canada
,United"
49,sharedir.com,0.04%,"Croatia
,Kuwait
"
100,google.com.pr,0.04%,"WorldWide
"
22,findeer.com,0.04%,"Italy
"
33,downloadey.com,0.04%,"Iraq
,Kuwait
,Saudi,Egypt
"
20,123rede.com,0.04%,"Indonesia
,Brazil
"
15,amovies.org,0.04%,"Czech,Russia
,Ukraine
"
29,istartsurf.com,0.04%,"Bulgaria
,Chile
,Colombia
,Croatia
,Czech,Denmark
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Iraq
,Ireland
,Italy
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Brazil
,Thailand
,United,Turkey
,Egypt
,Venezuela
"
23,zapmeta.co.nz,0.04%,New
38,aibang.com,0.04%,"China
"
33,trovit.co.uk,0.03%,United
34,izito.de,0.03%,"Germany
"
22,zapmeta.fr,0.03%,"France
"
24,ceek.jp,0.03%,"Japan
"
25,tiktek.com,0.03%,"Israel
"
36,searchpile.com,0.03%,"Bulgaria
,Croatia
,Greece
,Hungary
,Iraq
,Kuwait
,Morocco
,Pakistan
,Poland
,Qatar
,Romania
,Saudi,Serbia
,Egypt
"
32,healthengine.com.au,0.03%,"Australia
"
24,chomikuj-wyszukiwarka.eu,0.03%,"Poland
"
36,zapmeta.com,0.03%,"Canada
,Finland
,Germany
,Argentina
,Australia
,Indonesia
,Ireland
,Italy
,Norway
,Spain
,Thailand
,Turkey
"
24,metasearch.gr,0.03%,"Greece
"
39,wen.lu,0.03%,"China
"
37,youzz.net,0.03%,"Portugal
"
39,siteget.net,0.03%,"Ireland
,Portugal
,United"
37,google.cd,0.03%,"Belgium
"
30,raftaar.in,0.03%,"India
"
30,beruby.com,0.03%,"Italy
,Portugal
,Spain
"
34,yahoo.com.au,0.03%,"Australia
"
37,jawabkom.com,0.03%,"Iraq
,Kuwait
,Morocco
,Qatar
,Saudi,United,Egypt
"
42,meny.dk,0.03%,"Denmark
"
30,webssearches.com,0.03%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Iraq
,Israel
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,Venezuela
"
24,ixquick.fr,0.03%,"France
"
42,extreamcs.com,0.03%,"Romania
"
32,google.com.ve,0.03%,"Venezuela
"
22,tixcraft.com,0.03%,"Taiwan
"
39,misrlinks.com,0.03%,"Kuwait
,Egypt
"
23,afmail.uol.com.br,0.03%,"Brazil
"
16,nigma.ru,0.03%,"Russia
,Ukraine
"
17,politrussia.com,0.03%,"Russia
,Slovakia
,Ukraine
"
33,iglobal.co,0.03%,"Chile
,Colombia
,Argentina
,Mexico
,Pakistan
,Venezuela
"
55,anype.com,0.03%,"Kuwait
"
27,raterhub.com,0.03%,"Taiwan
,Croatia
,Denmark
,France
,Ireland
,Israel
,Italy
,Japan
,Norway
,Russia
,Spain
,Brazil
,Egypt
,United,United"
28,goodsearch.com,0.03%,"Canada
,Hong,United"
35,wapka.cc,0.03%,"Indonesia
"
42,soopat.com,0.03%,"China
"
29,gohome.cz,0.03%,Czech
18,loopy.ru,0.03%,"Israel
,Russia
,Ukraine
"
35,yandex.com,0.03%,"Bulgaria
,Canada
,Chile
,China
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Iraq
,Ireland
,Israel
,Italy
,Japan
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,United,United,Venezuela
"
36,v9.com,0.03%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Iraq
,Ireland
,Israel
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Egypt
,Venezuela
"
35,mitula.in,0.03%,"India
"
26,yoke918.com,0.03%,"Taiwan
"
28,441il.com,0.03%,"Israel
"
27,btsearch.pl,0.03%,"Poland
"
28,findsubtitles.org,0.03%,"Greece
"
28,sld.pe,0.03%,"Peru
"
23,mitula.ru,0.03%,"Russia
"
37,asklaila.com,0.03%,"India
"
42,re-markit.co,0.03%,"Canada
,Denmark
,Finland
,France
,Australia
,Italy
,Austria
,New,Belgium
,Norway
,Portugal
,Singapore
,Spain
,Sweden
,Switzerland
"
44,qixin.com,0.03%,"China
"
41,mitula.at,0.03%,"Austria
"
39,trovit.co.in,0.03%,"India
"
30,tantora.jp,0.03%,"Japan
"
45,ip.cn,0.03%,"China
"
37,buenosearch.com,0.03%,"Bulgaria
,Chile
,Colombia
,Croatia
,Czech,Argentina
,Hungary
,India
,Indonesia
,Italy
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Pakistan
,Peru
,Philippines
,Qatar
,Romania
,Serbia
,Singapore
,Slovakia
,United,Venezuela
"
32,like2see.co.il,0.03%,"Israel
"
31,viral-community.com,0.03%,"Japan
"
32,findly.com,0.03%,New
38,yahoo.com.hk,0.03%,Hong
30,buscamas.pe,0.03%,"Peru
"
29,zapmeta.it,0.03%,"Italy
"
35,google.co.bw,0.03%,South
49,trovit.ro,0.02%,"Romania
"
43,etools.ch,0.02%,"Switzerland
"
46,2345.cn,0.02%,"China
"
41,yourlocal.ie,0.02%,"Ireland
"
44,pageadvisor.com,0.02%,"Singapore
"
38,mystart.com,0.02%,"Bulgaria
,Chile
,Colombia
,Croatia
,Czech,Denmark
,Greece
,Argentina
,Hungary
,India
,Indonesia
,Iraq
,Israel
,Malaysia
,Mexico
,Morocco
,Belgium
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Serbia
,Slovakia
,Vietnam
,Spain
,Brazil
,Thailand
,Egypt
,Venezuela
"
34,kbcsm.hr,0.02%,"Croatia
"
52,malaysiamostwanted.com,0.02%,"Malaysia
"
40,hallar.co,0.02%,"Colombia
"
40,mystartsearch.com,0.02%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Finland
,Germany
,Greece
,Argentina
,Hungary
,India
,Indonesia
,Iraq
,Israel
,Italy
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,Venezuela
"
34,tvnv.jp,0.02%,"Japan
"
27,theuniversedownload.com,0.02%,"Portugal
,Brazil
"
39,megosztom.net,0.02%,"Hungary
"
49,btba.com.cn,0.02%,"China
"
42,searchalgo.com,0.02%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Greece
,Argentina
,Hong,Hungary
,India
,Indonesia
,Iraq
,Kuwait
,Malaysia
,Mexico
,Morocco
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Brazil
,Thailand
,United,Turkey
,Egypt
,Venezuela
"
43,delta-homes.com,0.02%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,France
,Greece
,Argentina
,Hungary
,India
,Australia
,Indonesia
,Iraq
,Ireland
,Israel
,Italy
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,Venezuela
"
32,duballsod.com,0.02%,"Thailand
"
44,op.gg,0.02%,"Bulgaria
,Canada
,Chile
,China
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,Australia
,Iraq
,Ireland
,Israel
,Italy
,Japan
,Austria
,Kuwait
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Peru
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Slovakia
,Vietnam
,Spain
,Sweden
,Switzerland
,Brazil
,United,Turkey
,Ukraine
,Egypt
,United,United,Venezuela
"
44,download.safepcrepair.com,0.02%,"Bulgaria
,Morocco
,Pakistan
,Philippines
,Romania
,Vietnam
,Egypt
"
31,apowersoft.tw,0.02%,"Taiwan
"
34,goalad.com,0.02%,"Italy
"
45,blogdepelis.com,0.02%,"Chile
,Colombia
,Argentina
,Mexico
,Peru
,Venezuela
"
46,ecosia.org,0.02%,"Canada
,Chile
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hungary
,Australia
,Ireland
,Italy
,Austria
,Mexico
,Netherlands
,New,Belgium
,Norway
,Peru
,Philippines
,Poland
,Portugal
,Romania
,South,Spain
,Sweden
,Switzerland
,Turkey
,United,United,Venezuela
"
35,grazia.it,0.02%,"Italy
"
51,google.lu,0.02%,"Ireland
,Belgium
"
48,searchandseek.com,0.02%,"Turkey
"
50,layui.com,0.02%,"China
"
23,all-service.com.ua,0.02%,"Ukraine
"
41,netex.co.il,0.02%,"Israel
"
47,searchnu.com,0.02%,"Bulgaria
,Chile
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Iraq
,Ireland
,Israel
,Kuwait
,Malaysia
,Mexico
,Morocco
,New,Belgium
,Pakistan
,Peru
,Philippines
,Portugal
,Qatar
,Romania
,Saudi,Serbia
,Slovakia
,Vietnam
,South,Switzerland
,Thailand
,United,Egypt
,Venezuela
"
28,busca.uol.com.br,0.02%,"Brazil
"
42,mtl.com,0.02%,"Israel
"
43,bokepigo.com,0.02%,"Indonesia
"
48,infospace.com,0.02%,"Chile
,Colombia
,Argentina
,Indonesia
,Iraq
,Israel
,Kuwait
,Malaysia
,Mexico
,Morocco
,Belgium
,Pakistan
,Peru
,Philippines
,Qatar
,Saudi,Serbia
,Vietnam
,Thailand
,United,Egypt
,Venezuela
"
35,search.com,0.02%,"Canada
,Croatia
,Pakistan
,Peru
,Serbia
,United"
48,enic.pk,0.02%,"Pakistan
"
55,side2blogg.blogg.no,0.02%,"Norway
"
36,tineye.com,0.02%,"Bulgaria
,Canada
,Chile
,China
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,Australia
,Ireland
,Israel
,Italy
,Japan
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Poland
,Portugal
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,South,Spain
,Sweden
,Switzerland
,Turkey
,Ukraine
,Egypt
,United,United"
31,expediafortd.com,0.02%,"Canada
"
49,kararara.com,0.02%,"Turkey
"
51,rabbitpre.com,0.02%,"China
"
49,complaintboard.in,0.02%,"India
"
42,rivakka.net,0.02%,"Finland
"
50,askme.com,0.02%,"India
"
66,google.com.bh,0.02%,"Kuwait
,Saudi,United"
42,munuc.hu,0.02%,"Hungary
"
30,szukacz.pl,0.02%,"Poland
"
51,airtelforum.com,0.02%,"India
"
37,ixquick-proxy.com,0.02%,"Canada
,Czech,Denmark
,Finland
,France
,Germany
,Australia
,Ireland
,Italy
,Austria
,Netherlands
,New,Belgium
,Norway
,Poland
,Romania
,Spain
,Sweden
,Switzerland
,United,United"
52,foxstart.com,0.02%,"Indonesia
,Iraq
,Pakistan
,Qatar
,Romania
,Serbia
,United"
56,io.no,0.02%,"Norway
"
37,appsupport.jp,0.02%,"Japan
"
63,iraqld.iq,0.02%,"Iraq
"
41,bursaries-southafrica.co.za,0.02%,South
39,five.vn,0.02%,"Vietnam
"
42,zapmeta.es,0.02%,"Spain
"
49,googlevideo.com,0.02%,"Bulgaria
,Canada
,Chile
,China
,Taiwan
,Colombia
,Croatia
,Czech,Denmark
,Finland
,France
,Germany
,Greece
,Argentina
,Hong,Hungary
,India
,Australia
,Indonesia
,Iraq
,Ireland
,Israel
,Italy
,Japan
,Austria
,Kuwait
,Malaysia
,Mexico
,Morocco
,Netherlands
,New,Belgium
,Norway
,Pakistan
,Peru
,Philippines
,Poland
,Portugal
,Qatar
,Romania
,Russia
,Saudi,Serbia
,Singapore
,Slovakia
,Vietnam
,South,Spain
,Sweden
,Switzerland
,Brazil
,Thailand
,United,Turkey
,Ukraine
,Egypt
,United,United,Venezuela
"
44,guiamexico.com.mx,0.02%,"Mexico
"
51,moviemp4.info,0.02%,"Pakistan
"
53,360tpcdn.com,0.02%,"China
"
40,newxads.com,0.02%,"Pakistan
,Peru
"
53,shouldianswer.co.uk,0.02%,United
37,saucenao.com,0.02%,"China
,Taiwan
"
46,tv2go.co.il,0.02%,"Israel
"
46,google.com.pg,0.02%,"India
,Pakistan
,Qatar
,South,Egypt
"
50,mywebsearch.com,0.02%,"Bulgaria
,Chile
,Colombia
,Croatia
,Greece
,Argentina
,India
,Indonesia
,Iraq
,Israel
,Kuwait
,Malaysia
,Mexico
,Morocco
,Belgium
,Philippines
,Qatar
,Romania
,Saudi,Serbia
,Slovakia
,South,Brazil
,Venezuela
"
73,mawared.qa,0.02%,"Qatar
"
